"","X","screen_name","user_id","prob_bot"
"448",23,"KirkSpano",407493118,0.0270826657071412
"449",24,"ZuluOnly",803844588100325376,0.0109132546915868
"450",25,"lauraviajera",137154526,0.101589722827269
"451",26,"jonobacon",14816103,0.00693768305303894
"453",28,"ItsRachanaS",1353957481,0.00628502744810127
"454",29,"theamirzakaria",43093976,0.3219459404183
"455",30,"RafaMGCarreira",1604205242,0.0405554054089083
"456",31,"richardsurples",23045521,0.434886189055262
"457",32,"dominiquelildc",52872127,0.304723948124414
"460",35,"TobiaszGondzik",447783491,0.0643456208685492
"461",36,"ModernBulls",4283010133,0.0299759020535945
"463",38,"FlowGo37",285261108,0.00925930860804342
"468",43,"RanggaSon",108937726,0.423260089007761
"471",46,"hazrulamir",184077949,0.405904283955535
"476",51,"Jeannettee__",1106786833,0.0070801699324276
"477",52,"zachrippey23",46028913,0.370507975757175
"478",53,"star95011",860871247,0.020500713998966
"479",54,"1AyeB1",459670585,0.216372892930216
"480",55,"complexatoms",261692281,0.252142122219145
"481",56,"StayKickin_It",161747217,0.198830711942976
"482",57,"pawankaushal",21413424,0.111290304366229
"484",59,"APharouk",498188901,0.0277495782156906
"485",60,"ChrisMcKinzie_",43827662,0.175642263328608
"488",63,"hafidzroma",517342429,0.0318693637600137
"489",64,"victorbmc",67570186,0.204663316200396
"491",66,"tyrindukes",2482530595,0.164707688092032
"492",67,"yuland__",122866445,0.436086051297598
"493",68,"kyledesigned",1360816026,0.099147936122699
"496",71,"CHEQUIS",94260040,0.272434281382108
"501",76,"caffeinum",171470877,0.0545028423879322
"502",77,"WilliamLunaPeru",41758457,0.108156585829444
"505",80,"jacknewmanATA",58014696,0.40348113551333
"506",81,"MayiaLarrente",241002367,0.245833243253406
"509",84,"tobeski",29477765,0.0155113757787871
"511",86,"Kalangitan",178568385,0.00486158866955414
"513",88,"licornezz",910895378760790016,0.267156164500076
"514",89,"Sivitary",83263350,0.37965438085527
"515",90,"leoventuresllc",893305069059403776,0.347851790457162
"518",93,"gornattimariano",94150790,0.011275717470301
"519",94,"OscArtSanch",152128008,0.336445240463937
"520",95,"michelereya",2438401508,0.0214950845545893
"521",96,"jenna_llama",1334280080,0.422010794492938
"528",103,"JulioCLeyvaV",531726280,0.0188139854658814
"529",104,"caitlinsmith00",607457286,0.0154634417607739
"530",105,"chippedcupoftea",2839446221,0.0605894647247918
"531",106,"Miguelizic",120508240,0.0445092152394205
"532",107,"belardi21",480904154,0.0545050703822389
"534",109,"SupaVol",50178504,0.1684740949838
"535",110,"cantwotimes",64779069,0.0667277403590145
"538",113,"FindlaterJake",1045349545071316992,0.454375669681974
"541",116,"ssysfakb",722519742683222016,0.1461092685365
"544",119,"ChongLiMMA",3063670610,0.183106461988473
"545",120,"AliaChughtai",23183848,0.153768819843072
"546",121,"courtfayebrown",343506023,0.0449348194377371
"552",127,"Jasminestormy",103092395,0.482510894297684
"553",1,"AFVofficial",167491068,0.00510352683108866
"555",3,"GMPent",126434587,0.377727014568991
"556",4,"Mychlov8",1085593512,0.218094021559448
"557",5,"AidanGFX_",2294520121,0.0500353432623864
"558",6,"YOLO_AEMCS",438459835,0.0852791834405232
"560",8,"jefferraro",125161233,0.248473684383813
